0,[337, 324],[343, 324],[344, 342],[337, 342]
1,[336, 325],[344, 325],[344, 343],[337, 343]
2,[336, 324],[343, 324],[344, 341],[336, 341]
3,[335, 324],[344, 324],[344, 340],[337, 340]
4,[335, 324],[344, 324],[344, 342],[336, 342]
5,[335, 323],[344, 323],[344, 341],[336, 341]
6,[334, 322],[343, 322],[344, 339],[335, 340]
7,[333, 323],[343, 323],[343, 341],[335, 341]
8,[333, 322],[343, 322],[343, 340],[334, 340]
9,[333, 322],[343, 322],[344, 340],[334, 340]
10,[333, 322],[342, 322],[342, 340],[334, 340]
11,[332, 322],[342, 322],[342, 341],[334, 341]
12,[332, 321],[341, 321],[342, 341],[333, 341]
13,[331, 321],[340, 321],[341, 341],[333, 341]
14,[331, 321],[340, 321],[341, 341],[332, 341]
15,[331, 320],[339, 320],[340, 341],[331, 341]
16,[331, 320],[339, 321],[340, 341],[331, 341]
17,[330, 320],[340, 320],[340, 341],[331, 341]
18,[329, 319],[340, 319],[341, 340],[331, 340]
19,[329, 319],[340, 320],[340, 342],[329, 342]
20,[329, 319],[339, 319],[339, 343],[329, 342]
21,[327, 319],[337, 319],[338, 343],[328, 343]
22,[327, 318],[338, 319],[339, 341],[328, 341]
23,[326, 318],[336, 318],[337, 341],[326, 342]
24,[327, 318],[337, 318],[337, 342],[327, 342]
25,[325, 318],[336, 318],[337, 342],[326, 342]
26,[324, 317],[336, 317],[337, 342],[326, 342]
27,[324, 317],[336, 317],[338, 341],[326, 341]
28,[324, 316],[334, 316],[336, 339],[325, 340]
29,[322, 316],[336, 316],[336, 341],[324, 341]
30,[322, 315],[334, 315],[334, 340],[323, 340]
31,[321, 315],[333, 315],[334, 342],[322, 342]
32,[320, 314],[334, 314],[335, 343],[322, 343]
33,[319, 314],[334, 314],[336, 342],[321, 342]
34,[319, 314],[333, 314],[333, 342],[320, 342]
35,[318, 313],[333, 313],[334, 342],[319, 342]
36,[318, 313],[332, 313],[332, 343],[319, 343]
37,[316, 313],[331, 313],[331, 343],[318, 343]
38,[315, 312],[330, 313],[330, 341],[316, 341]
39,[314, 312],[329, 312],[330, 342],[315, 341]
40,[314, 311],[328, 311],[329, 342],[315, 342]
41,[313, 311],[327, 311],[328, 342],[313, 341]
42,[312, 310],[327, 310],[328, 342],[313, 342]
43,[312, 310],[325, 310],[326, 342],[313, 342]
44,[310, 309],[325, 310],[326, 341],[312, 341]
45,[309, 309],[325, 310],[325, 341],[310, 340]
46,[307, 307],[325, 308],[325, 341],[308, 341]
47,[307, 308],[322, 308],[323, 341],[308, 341]
48,[306, 307],[322, 308],[323, 342],[307, 342]
49,[304, 305],[320, 306],[322, 342],[306, 342]
50,[303, 305],[320, 306],[321, 342],[305, 342]
51,[301, 305],[319, 305],[319, 341],[303, 342]
52,[300, 303],[319, 304],[320, 342],[301, 341]
53,[297, 303],[317, 303],[319, 342],[299, 342]
54,[297, 301],[316, 302],[317, 344],[299, 344]
55,[295, 301],[314, 302],[315, 345],[295, 345]
56,[293, 299],[314, 301],[315, 341],[295, 341]
57,[292, 299],[312, 300],[313, 343],[294, 342]
58,[290, 297],[311, 299],[311, 345],[291, 345]
59,[288, 296],[307, 297],[310, 342],[290, 343]
60,[287, 293],[306, 294],[307, 344],[287, 344]
61,[283, 293],[306, 294],[307, 344],[284, 343]
62,[281, 291],[304, 292],[305, 344],[282, 343]
63,[278, 290],[301, 291],[302, 344],[280, 345]
64,[276, 289],[299, 290],[301, 344],[278, 343]
65,[272, 288],[296, 288],[299, 343],[273, 342]
66,[270, 286],[295, 286],[297, 343],[272, 343]
67,[266, 284],[292, 284],[294, 344],[268, 345]
68,[262, 282],[290, 283],[291, 347],[266, 346]
69,[259, 280],[286, 280],[289, 344],[261, 345]
70,[255, 278],[284, 279],[287, 347],[257, 346]
71,[252, 275],[281, 275],[283, 345],[253, 345]
72,[246, 272],[277, 273],[279, 345],[249, 346]
73,[241, 270],[275, 270],[276, 345],[243, 345]
74,[236, 265],[271, 265],[272, 345],[238, 346]
75,[231, 261],[265, 262],[268, 345],[233, 346]
76,[224, 257],[262, 259],[262, 345],[227, 345]
77,[217, 253],[256, 254],[257, 346],[219, 346]
78,[209, 247],[252, 249],[252, 344],[211, 346]
79,[201, 244],[244, 243],[246, 347],[201, 348]
80,[192, 237],[237, 238],[238, 346],[192, 347]
81,[182, 230],[230, 231],[230, 347],[183, 346]
82,[170, 224],[221, 225],[221, 346],[169, 346]
83,[157, 214],[212, 215],[211, 346],[155, 347]
84,[143, 205],[201, 205],[199, 347],[138, 347]
85,[127, 193],[188, 195],[185, 347],[121, 348]
86,[107, 182],[175, 184],[169, 346],[100, 346]
87,[87, 168],[158, 168],[148, 345],[74, 347]
88,[61, 152],[139, 151],[127, 347],[46, 346]
89,[36, 132],[116, 131],[100, 345],[10, 346]
90,[3, 112],[93, 109],[65, 348]
