0,[354, 302],[368, 301],[369, 318],[355, 319]
1,[354, 303],[369, 303],[369, 317],[356, 318]
2,[356, 301],[367, 302],[368, 317],[356, 317]
3,[355, 302],[368, 302],[368, 318],[356, 318]
4,[354, 302],[368, 302],[368, 320],[355, 320]
5,[354, 302],[368, 302],[368, 319],[356, 319]
6,[355, 302],[367, 302],[367, 319],[356, 319]
7,[354, 302],[368, 302],[368, 319],[355, 319]
8,[354, 302],[368, 303],[368, 318],[355, 319]
9,[352, 303],[368, 302],[369, 319],[355, 319]
10,[354, 302],[368, 302],[368, 320],[355, 320]
11,[353, 303],[367, 302],[368, 318],[355, 318]
12,[354, 301],[366, 301],[367, 319],[355, 319]
13,[353, 301],[366, 301],[367, 317],[354, 317]
14,[352, 301],[367, 301],[367, 318],[353, 318]
15,[353, 301],[367, 302],[368, 317],[354, 317]
16,[353, 301],[366, 301],[367, 317],[354, 317]
17,[352, 300],[367, 301],[368, 318],[353, 318]
18,[353, 301],[366, 301],[367, 317],[354, 317]
19,[352, 300],[365, 300],[366, 318],[353, 318]
20,[352, 301],[366, 301],[366, 318],[353, 319]
21,[352, 300],[366, 300],[367, 318],[354, 318]
22,[352, 300],[365, 300],[366, 317],[352, 317]
23,[351, 300],[366, 300],[366, 317],[352, 317]
24,[351, 300],[365, 300],[365, 318],[352, 318]
25,[350, 299],[366, 300],[366, 317],[351, 317]
26,[351, 299],[366, 300],[366, 317],[352, 317]
27,[351, 299],[365, 299],[365, 317],[352, 317]
28,[350, 298],[364, 298],[366, 317],[351, 317]
29,[351, 298],[364, 298],[365, 318],[352, 318]
30,[350, 298],[365, 298],[365, 317],[351, 318]
31,[350, 298],[364, 298],[365, 314],[351, 314]
32,[349, 298],[364, 298],[364, 315],[350, 315]
33,[350, 298],[364, 298],[364, 314],[351, 314]
34,[349, 297],[363, 297],[364, 315],[351, 315]
35,[350, 297],[363, 298],[364, 315],[351, 315]
36,[349, 297],[363, 297],[364, 316],[350, 316]
37,[349, 297],[363, 298],[363, 315],[350, 315]
38,[349, 296],[363, 296],[363, 315],[350, 315]
39,[348, 297],[363, 297],[363, 316],[349, 315]
40,[348, 296],[362, 296],[363, 315],[349, 314]
41,[348, 296],[363, 296],[364, 312],[349, 312]
42,[348, 295],[363, 296],[364, 315],[349, 315]
43,[348, 295],[363, 295],[363, 314],[349, 313]
44,[348, 295],[363, 296],[363, 315],[349, 314]
45,[347, 294],[363, 294],[363, 313],[349, 313]
46,[348, 294],[362, 294],[363, 313],[349, 313]
47,[347, 294],[363, 294],[364, 313],[349, 313]
48,[348, 294],[362, 295],[362, 313],[349, 313]
49,[347, 295],[363, 295],[363, 315],[348, 314]
50,[347, 294],[362, 295],[360, 316],[347, 315]
51,[346, 295],[363, 295],[363, 314],[346, 314]
52,[346, 294],[363, 294],[363, 314],[347, 314]
53,[346, 294],[362, 294],[363, 313],[348, 313]
54,[346, 293],[362, 294],[362, 315],[347, 315]
55,[346, 294],[361, 294],[362, 314],[347, 314]
56,[345, 293],[361, 293],[362, 313],[346, 313]
57,[345, 294],[361, 294],[362, 313],[346, 313]
58,[345, 294],[362, 294],[362, 315],[346, 315]
59,[345, 295],[361, 295],[362, 315],[346, 315]
60,[345, 293],[360, 294],[361, 314],[346, 314]
61,[345, 294],[360, 294],[360, 315],[346, 315]
62,[344, 293],[360, 293],[361, 314],[345, 314]
63,[344, 293],[361, 294],[362, 314],[345, 314]
64,[344, 293],[361, 294],[361, 314],[346, 314]
65,[343, 293],[361, 293],[361, 316],[345, 315]
66,[344, 293],[360, 293],[360, 313],[345, 313]
67,[344, 293],[360, 292],[360, 314],[345, 314]
68,[343, 291],[361, 292],[361, 314],[344, 314]
69,[343, 291],[361, 291],[361, 314],[344, 314]
70,[343, 291],[360, 292],[361, 312],[344, 312]
71,[343, 290],[360, 291],[361, 312],[344, 312]
72,[342, 289],[361, 290],[361, 311],[344, 311]
73,[343, 290],[359, 291],[359, 312],[343, 311]
74,[342, 288],[361, 290],[361, 313],[343, 313]
75,[342, 289],[359, 289],[360, 312],[343, 312]
76,[342, 288],[360, 289],[361, 312],[343, 312]
77,[342, 288],[360, 289],[361, 311],[343, 311]
78,[342, 289],[359, 290],[360, 311],[344, 311]
79,[342, 290],[360, 290],[361, 312],[344, 311]
80,[341, 289],[358, 289],[359, 311],[343, 310]
81,[343, 288],[360, 289],[360, 311],[343, 310]
82,[342, 288],[361, 289],[361, 311],[342, 311]
83,[342, 288],[360, 288],[360, 311],[342, 310]
84,[341, 287],[359, 288],[360, 310],[342, 310]
85,[342, 287],[359, 287],[360, 311],[343, 310]
86,[341, 287],[360, 288],[360, 311],[342, 310]
87,[342, 287],[359, 287],[361, 309],[344, 309]
88,[341, 288],[360, 289],[361, 311],[343, 311]
89,[341, 287],[359, 288],[359, 309],[342, 309]
90,[341, 287],[361, 288],[360, 310],[342, 310]
91,[341, 287],[360, 286],[361, 310],[343, 310]
92,[342, 285],[359, 286],[360, 310],[343, 309]
93,[341, 285],[359, 285],[361, 309],[342, 309]
94,[341, 285],[360, 284],[360, 309],[342, 309]
95,[340, 284],[360, 285],[362, 307],[343, 306]
96,[341, 284],[360, 285],[360, 311],[343, 310]
97,[340, 282],[359, 282],[361, 309],[342, 309]
98,[340, 281],[361, 281],[362, 307],[341, 307]
99,[341, 282],[361, 283],[362, 307],[342, 306]
100,[340, 282],[360, 282],[361, 307],[343, 307]
101,[340, 281],[361, 281],[362, 307],[341, 306]
102,[341, 281],[361, 282],[362, 306],[343, 306]
103,[340, 280],[361, 281],[362, 306],[342, 306]
104,[340, 280],[361, 280],[362, 305],[341, 305]
105,[340, 281],[361, 281],[361, 306],[342, 306]
106,[339, 282],[361, 282],[361, 307],[341, 306]
107,[340, 281],[361, 282],[362, 307],[341, 307]
108,[341, 282],[360, 282],[361, 307],[341, 307]
109,[340, 282],[361, 282],[362, 308],[341, 307]
110,[340, 282],[360, 283],[361, 307],[341, 307]
111,[340, 283],[361, 283],[361, 309],[341, 309]
112,[340, 283],[361, 283],[362, 309],[340, 308]
113,[340, 282],[360, 283],[361, 308],[341, 308]
114,[339, 281],[362, 282],[362, 308],[340, 307]
115,[339, 281],[362, 283],[362, 307],[341, 307]
