simTime,simFrame,playerId,markerid,roadId,laneId,prevId,nextId,laneType,laneColor,laneWidth,laneHeight,lateralDist,previewDx
8718.983788,523140,1,0,50,2,-1,-1,2,1,0.150000,0.092364,1.809094,60.000000,
8718.983788,523140,1,2,50,3,-1,-2,2,1,0.150000,-0.041529,-1.538229,60.000000,
8718.983788,523140,1,4,50,1,-1,-3,1,1,0.300000,0.229254,5.231358,60.000000,
8718.983788,523140,1,6,50,4,-1,-4,1,1,0.300000,-0.178420,-4.960492,60.000000,
8719.000455,523141,1,0,50,2,-1,-1,2,1,0.150000,0.092389,1.809729,60.000000,
8719.000455,523141,1,2,50,3,-1,-2,2,1,0.150000,-0.041504,-1.537594,60.000000,
8719.000455,523141,1,4,50,1,-1,-3,1,1,0.300000,0.229280,5.231993,60.000000,
8719.000455,523141,1,6,50,4,-1,-4,1,1,0.300000,-0.178394,-4.959857,60.000000,
8719.017121,523142,1,0,50,2,-1,-1,2,1,0.150000,0.092415,1.810364,60.000000,
8719.017121,523142,1,2,50,3,-1,-2,2,1,0.150000,-0.041478,-1.536959,60.000000,
8719.017121,523142,1,4,50,1,-1,-3,1,1,0.300000,0.229305,5.232627,60.000000,
8719.017121,523142,1,6,50,4,-1,-4,1,1,0.300000,-0.178369,-4.959223,60.000000,
8719.033788,523143,1,0,50,2,-1,-1,2,1,0.150000,0.092440,1.810998,60.000000,
8719.033788,523143,1,2,50,3,-1,-2,2,1,0.150000,-0.041453,-1.536325,60.000000,
8719.033788,523143,1,4,50,1,-1,-3,1,1,0.300000,0.229330,5.233261,60.000000,
8719.033788,523143,1,6,50,4,-1,-4,1,1,0.300000,-0.178344,-4.958589,60.000000,
8719.050455,523144,1,0,50,2,-1,-1,2,1,0.150000,0.092465,1.811631,60.000000,
8719.050455,523144,1,2,50,3,-1,-2,2,1,0.150000,-0.041428,-1.535692,60.000000,
8719.050455,523144,1,4,50,1,-1,-3,1,1,0.300000,0.229356,5.233895,60.000000,
8719.050455,523144,1,6,50,4,-1,-4,1,1,0.300000,-0.178318,-4.957955,60.000000,
8719.067121,523145,1,0,50,2,-1,-1,2,1,0.150000,0.092491,1.812265,60.000000,
8719.067121,523145,1,2,50,3,-1,-2,2,1,0.150000,-0.041402,-1.535059,60.000000,
8719.067121,523145,1,4,50,1,-1,-3,1,1,0.300000,0.229381,5.234528,60.000000,
8719.067121,523145,1,6,50,4,-1,-4,1,1,0.300000,-0.178293,-4.957322,60.000000,
8719.083788,523146,1,0,50,2,-1,-1,2,1,0.150000,0.092516,1.812897,60.000000,
8719.083788,523146,1,2,50,3,-1,-2,2,1,0.150000,-0.041377,-1.534426,60.000000,
8719.083788,523146,1,4,50,1,-1,-3,1,1,0.300000,0.229406,5.235160,60.000000,
8719.083788,523146,1,6,50,4,-1,-4,1,1,0.300000,-0.178268,-4.956689,60.000000,
8719.100455,523147,1,0,50,2,-1,-1,2,1,0.150000,0.092541,1.813529,60.000000,
8719.100455,523147,1,2,50,3,-1,-2,2,1,0.150000,-0.041352,-1.533794,60.000000,
8719.100455,523147,1,4,50,1,-1,-3,1,1,0.300000,0.229432,5.235793,60.000000,
8719.100455,523147,1,6,50,4,-1,-4,1,1,0.300000,-0.178242,-4.956057,60.000000,
8719.117121,523148,1,0,50,2,-1,-1,2,1,0.150000,0.092566,1.814161,60.000000,
8719.117121,523148,1,2,50,3,-1,-2,2,1,0.150000,-0.041326,-1.533162,60.000000,
8719.117121,523148,1,4,50,1,-1,-3,1,1,0.300000,0.229457,5.236424,60.000000,
8719.117121,523148,1,6,50,4,-1,-4,1,1,0.300000,-0.178217,-4.955425,60.000000,
8719.133788,523149,1,0,50,2,-1,-1,2,1,0.150000,0.092592,1.814793,60.000000,
8719.133788,523149,1,2,50,3,-1,-2,2,1,0.150000,-0.041301,-1.532531,60.000000,
8719.133788,523149,1,4,50,1,-1,-3,1,1,0.300000,0.229482,5.237056,60.000000,
8719.133788,523149,1,6,50,4,-1,-4,1,1,0.300000,-0.178192,-4.954794,60.000000,
8719.150455,523150,1,0,50,2,-1,-1,2,1,0.150000,0.092617,1.815423,60.000000,
8719.150455,523150,1,2,50,3,-1,-2,2,1,0.150000,-0.041276,-1.531900,60.000000,
8719.150455,523150,1,4,50,1,-1,-3,1,1,0.300000,0.229507,5.237687,60.000000,
